Title,Item Description,Hyperlink,Contributor,Date
Cat show,"28 photographic prints (contact sheets). | Photographs of cats, women, and a few men and children participating in the Garden State Cat Club's 15th annual show, held December 1-2, 1953, at the Wideaway Hall in Newark, N.J., for more than 300 cats from the United States, Canada, and Europe. Includes owners grooming cats; judges examining cats; owners holding cats with award ribbons; and people...",https://www.loc.gov/item/2016721953/,"Brooks, Charlotte", 1953
The Cat,1 photomechanical print : photogravure.,https://www.loc.gov/item/90710537/,"Eugene, Frank", 1916
[A cat],1 drawing : pencil.,https://www.loc.gov/item/2010718352/,"Stephens, Alice Barber", 1870
Domestic cat,"1 drawing : ink ; 6.1 x 9 (image), 13.7 x 19.2 cm (sheet) | Drawing shows a Japanese Bobtail cat, full-length, standing, facing left.",https://www.loc.gov/item/2009630098/,NA, 1878
[Two cats],1 print (poster) : color.,https://www.loc.gov/item/94509814/,"Steinlen, Théophile Alexandre", 1894
Black cat,1 print : cardboard cut-out with orange tinting ; irregular sheet 28 x 25 cm.,https://www.loc.gov/item/2017658972/,American Merri-Lei Corporation, 1952
[Domestic cat],"1 drawing : ink ; 6.1 x 9.2 (image), 7.8 x 11.2 cm (sheet)",https://www.loc.gov/item/2009630118/,NA, 1878
"""Nervous Cats""",1 drawing.,https://www.loc.gov/item/2012631796/,"Block, Herbert", 1947
Fat cat,1 drawing.,https://www.loc.gov/item/2012633951/,"Block, Herbert", 1946
"Poem 061:
        

        
            
                
                    
                    Sister Cat",,https://www.loc.gov/item/poetry-180-061/sister-cat/,"Mayes, Frances",NA
"Poem 116:
        

        
            
                
                    
                    Cat Scat",,https://www.loc.gov/item/poetry-180-116/cat-scat/,"Grennan, Eamon",NA
Nashville Cats!,"According to the song “Nashville Cats” by the Lovin’ Spoonful, there are “thirteen-hundred and fifty-two guitar pickers in Nashville.”  I wouldn’t question that number, but in fact I suspect it has increased dramatically since that song debuted in 1966. As my colleague Lindsay Conway wrote about in her blog post Music City 101:  NLS Heads […]",https://blogs.loc.gov/nls-music-notes/2018/04/nashville-cats/,"Dell Jenkins, Mary", 2018-04-05
Schrödinger's cat,NA,//lccn.loc.gov/2016218557,"Small Press Expo Collection (Library of Congress) - Wong, Ken", 2009
"""Cat"" Hat",NA,https://www.loc.gov/item/ncr002272/,"Harrell, Alfred", 1980-10
Cat song,sheet music | 1 score | Sheet Music (Form).,https://www.loc.gov/item/ihas.100008567/,"Pugsley, L. E. - J. C. Groene & Co.", 1891
Cat song,sheet music | 1 score | Sheet Music (Form).,https://www.loc.gov/item/ihas.100009959/,"Williams, Gus - T. B. Harms & Co.", 1873
Whose Cat,"Photographic Prints. 5 photographs: b&w, 8 in. x 10 in. | From Federal Theatre Project Collection (Production Records, Photographic Prints File, 1934-1939). Collections of over 23,000 black and white photographs, grouped into nine subseries, documenting over 1,000 FTP productions in 67 cities in 27 states. Also included are portraits of actors, actresses, and well-known figures of the day, as well as prints of audiences,...",https://www.loc.gov/item/musftpphotoprints.200223581/,NA,NA
Cat family,1 print.,https://www.loc.gov/item/2003689307/,NA, 1870
"""Naughty cat!""",1 print : lithograph.,https://www.loc.gov/item/2002710641/,Currier & Ives, 1874
Emmons cat,1 negative : glass ; 5 x 7 in.,https://www.loc.gov/item/2016694116/,"C.M. Bell (Firm : Washington, D.C.)", 1894
Emmons cat,1 negative : glass ; 5 x 7 in.,https://www.loc.gov/item/2016694117/,"C.M. Bell (Firm : Washington, D.C.)", 1894
Emmons cat,1 negative : glass ; 5 x 7 in.,https://www.loc.gov/item/2016694119/,"C.M. Bell (Firm : Washington, D.C.)", 1894
Emmons [cat],1 negative : glass ; 5 x 7 in.,https://www.loc.gov/item/2016694121/,"C.M. Bell (Firm : Washington, D.C.)", 1894
Miscellaneous [cat],1 negative : glass ; 5 x 7 in.,https://www.loc.gov/item/2016712990/,"C.M. Bell (Firm : Washington, D.C.)", 1873
Miscellaneous [cat],1 negative : glass ; 5 x 7 in.,https://www.loc.gov/item/2016712994/,"C.M. Bell (Firm : Washington, D.C.)", 1873
Miscellaneous [cat],1 negative : glass ; 5 x 7 in.,https://www.loc.gov/item/2016712995/,"C.M. Bell (Firm : Washington, D.C.)", 1873
Pussy cats,Notated Music. From: Airs and graces. Staff notation. (Language).,https://www.loc.gov/item/2016732576/,"Monckton, Lionel", 1917
Calamity cat,"1 print : etching, aquatint, and mezzotint ; 20 x 13 cm.",https://www.loc.gov/item/2006691519/,"College Women's Association of Japan - Yoneoka, Setsuko", 2004
Cat's cradle,"1 print : serigraph, col.",https://www.loc.gov/item/2002719209/,"Shahn, Ben", 1959
Cat song,"Notated Music. From: The Wager, or, The masked ball : The Masked ball. Staff notation. (Language).",https://www.loc.gov/item/2016740302/,"Barnard, Charles - Mollenhauer, Edward", 1879
The cat,1 print : col. lithograph ; 33 x 55 cm.,https://www.loc.gov/item/2002737046/,"Barnet, Will", 1956
Witches' cat,1 print : col. woodcut ; 38.3 x 29.5 cm.,https://www.loc.gov/item/2003664268/,"Eichenberg, Fritz", 1951
Emmons cat [woman and cat],1 negative : glass ; 5 x 7 in.,https://www.loc.gov/item/2016694120/,"C.M. Bell (Firm : Washington, D.C.)", 1894
"Jeremiah the cat,",Also available in digital form.,https://www.loc.gov/item/39017645/,"Culp, William Maurice", 1939
"Sooty, an aristocratic cat,","Illustrated lining-papers. ""Lithographed."" ""Junior press books."" Also available in digital form.",https://www.loc.gov/item/35016050/,"Hurcum, Ambrosina", 1935
Cat tales in verse.,Also available in digital form.,https://www.loc.gov/item/01029245/,"Walker, Elliot", 1900
Yard of cats,1 print : chromolithograph ; sheet 92 x 122 cm. or less.,https://www.loc.gov/item/2018757354/,NA, 1895
Yard of cats,1 print : chromolithograph ; sheet 92 x 122 cm. or less.,https://www.loc.gov/item/2018694858/,NA, 1893
The cat - Felis domesticus,"1 print : color lithograph ; sheet 27.9 x 35.6 cm. | Print shows a left side view of a domestic cat, full-length, lying down, faceing front, with one paw resting on a ball of yarn; also shows ""eye in sunlilght"" and ""eye at night"", ""teeth of cat family"", ""tongue of cat family"", ""claw drawn back"", and ""claw thrust out"".",https://www.loc.gov/item/2017660723/,L. Prang & Co., 1872
The black cat,1 print : engraving. | Black cat on head of woman.,https://www.loc.gov/item/93509663/,"Beardsley, Aubrey", 1901
[Mother cat and kittens],"1 print : wood engraving ; 5.2 x 7.2 cm (image), 10.4 x 12.9 cm (sheet) | Print shows a cat with three kittens.",https://www.loc.gov/item/2013646722/,"Anderson, Alexander", 1810
Cat and kittens,"1 print : chromolithograph ; sheet 31.6 x 22.3 cm. | Print shows a cat with three kittens at a green food or water dish, with a basket of straw in a room where the floor is also strewn with straw.",https://www.loc.gov/item/2017650796/,"Ronner, Henriette - Schaus, W. (William)", 1867
"The Black Cat, December","1 print : color ; sheet 30 x 24 cm (poster format) | Poster shows a black cat wearing a collar with a ""5 cents"" charm as the cover illustration for The Black Cat for December.",https://www.loc.gov/item/2015647209/,NA, 1890
